Id,Price
725,163287.1772266279
15856,249966.45500094784
5480,154785.21582252593
15664,363936.94107678084
14275,138037.9866731649
7633,206165.16497788692
13329,179240.70944244557
5502,224045.76022891566
4220,291386.75389509933
11538,199478.7576580846
15975,268363.6793907165
3310,223353.5897725322
9286,153269.15675209422
11260,189328.50235198208
5214,112621.76289826153
11307,179949.82532598628
13543,380557.0779398065
615,177083.11955047943
3495,211132.66128029863
2321,237146.5795721501
12046,197326.9454269787
16688,146753.22479497798
12694,213903.6888626332
783,150329.06413962258
8968,162365.42828018355
13454,177158.39479511438
12190,243900.21202256434
11160,135401.8540715652
10291,201489.12477608834
891,285471.153384254
2982,183136.95604786382
3818,262466.74962004856
2449,175331.8883457603
8317,165865.38721128614
4922,180490.72179910546
1257,241132.42396687626
9348,165189.58186298367
4176,193099.65388506945
10704,162164.9876633582
6624,113725.12065302301
5428,178147.00301698237
12749,183123.6201622929
8994,208192.09630525362
11513,136587.32052823345
3047,190232.24785307734
9519,203167.70387807663
12309,195826.22008119468
14081,285273.16081513383
8334,268123.5349286849
6343,178088.96310297964
14788,127092.51923231533
15748,414659.2060351773
153,223075.18926130515
14149,199919.96397072848
269,188538.08592433736
5452,134436.61561755443
721,184334.92150898452
5079,365464.18535636796
2831,127779.45962475947
10614,121404.71498593772
10131,258389.60216839038
9996,275708.3323891578
3061,193271.66824640078
11733,356461.1315767422
3726,231645.75400585114
10929,211297.36597570527
9011,349359.07388370874
16182,305478.70492984395
4976,180897.99038489992
9897,240014.4458139386
1872,155700.39261642887
9205,361627.87511929916
5403,414576.47116837016
14074,197523.88038008072
6268,159321.8445606628
14232,160977.69972667535
8532,221436.29724290478
7034,287800.84578393976
6553,481930.81865207275
3133,175617.11822448781
8596,206086.63231147642
12389,242494.83983306665
14462,177213.72085334687
8860,340791.64583493513
8377,281190.8051567059
6367,329595.573564711
6917,237176.5050531689
4216,202380.39517821182
5806,171137.36574195893
5438,180701.37510563296
6632,195873.25564501085
2650,151239.98897368545
5396,206989.05475418552
4044,157533.1850178047
1345,229423.80425224
856,180903.3679960237
12791,265279.4545485162
12499,217221.31596841913
12249,128334.86596356216
14641,155535.63857805336
1919,167261.44844974024
7848,200390.61295069367
10749,168484.68944823477
15554,195414.02914846106
15834,169089.40417933898
1355,174540.19391855717
15451,191318.345703418
12401,201386.9639159099
10290,168516.76796890778
9462,117613.02793714024
3103,242990.89771213502
3420,127679.20355961629
12262,245387.46794658943
5032,139448.95758867086
8949,283262.7886303462
15567,220390.89530983425
16389,153744.39398249728
7809,95460.96528571729
8990,163377.5274699203
16089,267547.454106951
12743,110486.89911418682
5132,128174.73018561295
1619,278135.38432560983
2428,85691.88398651542
16741,165101.37960238985
13193,213703.8936257826
12588,498996.64706051926
5067,175149.0865373396
14685,124377.2715192267
2292,183809.1730936261
5746,122564.99745994346
12578,174635.94082948862
14834,160532.03203785405
2147,167497.6112437658
8222,129651.91643565524
10419,260784.03678472742
11492,219136.29584744837
3006,230303.78380571978
8761,196099.29067537814
15371,388237.83860808704
16367,150223.4511586676
6317,258472.52432980767
10878,261915.0323883696
3895,147936.67698557483
8041,228691.0292635382
13428,437829.8918030033
14669,148174.07322843492
1006,176150.19515152223
12271,177619.9160177705
3764,440345.6054167997
7675,202499.55594675292
11709,285392.5002649443
8629,156657.8726047298
1105,284814.39712536527
6096,185000.23812719743
11727,201213.9392871445
5157,208251.29637462474
3679,136356.8020355003
1755,171365.2282567078
7391,187546.98056877597
7425,114332.63079960705
6882,441814.45741376694
10752,350880.898560779
7472,208700.49884855325
14320,99513.44470742578
9596,160066.7023641211
5317,198680.1166119498
7378,83439.1000817635
16154,185261.3527815899
3464,194219.73019412206
4197,233202.43521635808
9477,115480.48701296462
12705,193190.05090803147
16426,203918.99836457666
1481,69903.53797600305
9946,238458.62157362877
12025,197543.17205078408
5341,236309.36112977634
9923,301047.37108270667
7953,278212.7811078027
11066,256402.29168791143
5037,187103.93215767285
2509,186001.3300270819
4937,362680.3241510107
12089,411379.9499381752
4964,172759.16839331354
16500,246566.4357931566
4625,135992.88812423527
2363,394458.6562279318
8148,197092.36504824483
3804,181017.86381744972
4584,159126.85962794293
10694,119300.71654969908
2691,173613.59639619727
2983,228391.41600178275
13563,363368.900787209
10747,217069.80536733288
1721,202660.32268839702
2789,253361.00275574034
7214,250863.91351437618
8659,226104.76630952803
5107,267290.2164929946
3843,228192.14487179476
14610,379002.10152634466
15505,163862.47691174486
5060,237353.3065450009
16055,266333.24747787305
14963,217293.01327495583
4118,147337.04420920377
1672,184643.7401829604
3209,183798.08452873767
16515,142860.76120488727
973,174328.8372505076
12529,190298.3439545184
5896,124678.93968428734
5450,310836.1693610423
3249,170174.9455969422
8911,195425.7561181434
5898,222335.83318266092
1024,184625.86481011382
4766,207034.93687734808
15804,176414.7650343244
14303,222118.34590733334
10707,181556.99626000132
6605,209403.82081335716
1138,365271.16228912043
14088,430232.6721749603
9154,180482.33022892373
8190,178143.21359954018
398,286543.52529441833
13302,238214.81292752764
9696,160975.2960005877
16786,121514.76308147972
16230,188477.09400546178
6552,186686.2641166029
923,219303.13366338302
9602,301798.37105800177
5857,306865.5756741303
8120,161650.35591924522
7134,185500.99285106402
11726,172584.7591216641
8069,121531.63390734204
